x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1557.954391304348,1537.7212173913044,1557.954391304348,1638.8870869565217,1578.1875652173915,1618.6539130434785,1537.7212173913044,1679.3534347826085,1740.0529565217394,1618.6539130434785,1456.7885217391306,1557.954391304348,1497.2548695652176,1740.0529565217394,1699.586608695652,1699.586608695652,1598.4207391304349,1396.089,1740.0529565217394,1820.985652173913,1719.8197826086957,1598.4207391304349,1396.089,1557.954391304348,1659.1202608695653,1537.7212173913044,1679.3534347826085,1517.488043478261,1537.7212173913044,1598.4207391304349,1598.4207391304349,1497.2548695652176,1659.1202608695653,1517.488043478261,1740.0529565217394,1659.1202608695653,1679.3534347826085,1719.8197826086957,1719.8197826086957,1557.954391304348,1557.954391304348,1557.954391304348,1699.586608695652,1497.2548695652176,1517.488043478261,1517.488043478261,1719.8197826086957,1679.3534347826085
1504.744043478261,1485.2019130434785,1504.744043478261,1582.9125652173914,1524.2861739130437,1563.3704347826092,1485.2019130434785,1621.9968260869564,1680.6232173913045,1563.3704347826092,1407.0333913043478,1504.744043478261,1446.1176521739133,1680.6232173913045,1641.5389565217392,1641.5389565217392,1543.8283043478264,1348.4070000000002,1680.6232173913045,1758.7917391304352,1661.081086956522,1543.8283043478264,1348.4070000000002,1504.744043478261,1602.4546956521742,1485.2019130434785,1621.9968260869564,1465.6597826086959,1485.2019130434785,1543.8283043478264,1543.8283043478264,1446.1176521739133,1602.4546956521742,1465.6597826086959,1680.6232173913045,1602.4546956521742,1621.9968260869564,1661.081086956522,1661.081086956522,1504.744043478261,1504.744043478261,1504.744043478261,1641.5389565217392,1446.1176521739133,1465.6597826086959,1465.6597826086959,1661.081086956522,1621.9968260869564
1504.4829130434784,1484.9441739130436,1504.4829130434784,1582.6378695652177,1524.0216521739133,1563.0991304347829,1484.9441739130436,1621.7153478260868,1680.3315652173915,1563.0991304347829,1406.7892173913044,1504.4829130434784,1445.8666956521738,1680.3315652173915,1641.2540869565216,1641.2540869565216,1543.5603913043478,1348.1729999999998,1680.3315652173915,1758.4865217391305,1660.7928260869567,1543.5603913043478,1348.1729999999998,1504.4829130434784,1602.1766086956522,1484.9441739130436,1621.7153478260868,1465.4054347826088,1484.9441739130436,1543.5603913043478,1543.5603913043478,1445.8666956521738,1602.1766086956522,1465.4054347826088,1680.3315652173915,1602.1766086956522,1621.7153478260868,1660.7928260869567,1660.7928260869567,1504.4829130434784,1504.4829130434784,1504.4829130434784,1641.2540869565216,1445.8666956521738,1465.4054347826088,1465.4054347826088,1660.7928260869567,1621.7153478260868
1466.8550217391305,1447.804956521739,1466.8550217391305,1543.0552826086957,1485.9050869565217,1524.0052173913043,1447.804956521739,1581.1554130434781,1638.3056086956522,1524.0052173913043,1371.6046956521739,1466.8550217391305,1409.7048260869565,1638.3056086956522,1600.2054782608695,1600.2054782608695,1504.955152173913,1314.4544999999998,1638.3056086956522,1714.5058695652174,1619.255543478261,1504.955152173913,1314.4544999999998,1466.8550217391305,1562.1053478260867,1447.804956521739,1581.1554130434781,1428.7548913043477,1447.804956521739,1504.955152173913,1504.955152173913,1409.7048260869565,1562.1053478260867,1428.7548913043477,1638.3056086956522,1562.1053478260867,1581.1554130434781,1619.255543478261,1619.255543478261,1466.8550217391305,1466.8550217391305,1466.8550217391305,1600.2054782608695,1409.7048260869565,1428.7548913043477,1428.7548913043477,1619.255543478261,1581.1554130434781
1466.664195652174,1447.6166086956523,1466.664195652174,1542.8545434782613,1485.7117826086958,1523.8069565217395,1447.6166086956523,1580.9497173913041,1638.0924782608695,1523.8069565217395,1371.426260869565,1466.664195652174,1409.5214347826088,1638.0924782608695,1599.9973043478262,1599.9973043478262,1504.7593695652174,1314.2835,1638.0924782608695,1714.2828260869567,1619.0448913043479,1504.7593695652174,1314.2835,1466.664195652174,1561.9021304347827,1447.6166086956523,1580.9497173913041,1428.5690217391307,1447.6166086956523,1504.7593695652174,1504.7593695652174,1409.5214347826088,1561.9021304347827,1428.5690217391307,1638.0924782608695,1561.9021304347827,1580.9497173913041,1619.0448913043479,1619.0448913043479,1466.664195652174,1466.664195652174,1466.664195652174,1599.9973043478262,1409.5214347826088,1428.5690217391307,1428.5690217391307,1619.0448913043479,1580.9497173913041
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
