Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,2000,,0,51.62617969
4328.833832,10,OPTIMAL,856.9263279,2,0,5185.76016,1.080405029,Yes,0,0,42.8463164,,,,
4316.895898,11,OPTIMAL,803.7919824,2,0,5120.68788,9.261737674,Yes,0,0,40.18959912,,,,
4321.824679,12,OPTIMAL,493.5240407,2,0,4815.34872,25.27383821,No,0,0,24.67620204,,,,
4327.091023,13,OPTIMAL,473.2410166,2,0,4800.33204,24.09665905,No,0,0,23.66205083,,,,
4299.003855,14,OPTIMAL,581.4171453,2,0,4880.421,27.3787098,No,0,0,29.07085726,,,,
4304.957963,15,OPTIMAL,750.6576369,2,0,5055.6156,27.05723577,Yes,0,0,37.53288185,,,,
4319.650806,16,OPTIMAL,816.0537545,2,0,5135.70456,24.24864739,Yes,0,0,40.80268772,,,,
4322.405714,17,OPTIMAL,828.3155265,2,0,5150.72124,17.15003448,Yes,0,0,41.41577632,,,,
4338.016859,18,OPTIMAL,897.7989014,2,0,5235.81576,28.18876281,Yes,0,0,44.88994507,,,,
4302.514751,19,OPTIMAL,567.8951292,2,0,4870.40988,22.79522504,No,0,0,28.39475646,,,,
4291.496575,20,OPTIMAL,689.0356252,2,0,4980.5322,34.52370041,No,0,0,34.45178126,,,,
4297.248407,21,OPTIMAL,588.1781533,2,0,4885.42656,27.81411671,No,0,0,29.40890767,,,,
4315.059292,22,OPTIMAL,795.6174677,2,0,5110.67676,28.14647185,Yes,0,0,39.78087339,,,,
4297.647262,23,OPTIMAL,717.9238577,2,0,5015.57112,13.09176087,Yes,0,0,35.89619288,,,,
4286.491941,24,OPTIMAL,664.006899,2,0,4950.49884,16.78212185,No,0,0,33.20034495,,,,
4330.60192,25,OPTIMAL,459.7190005,2,0,4790.32092,19.60533506,No,0,0,22.98595002,,,,
4283.155518,26,OPTIMAL,647.3210816,2,0,4930.4766,26.683688,No,0,0,32.36605408,,,,
4285.657835,27,OPTIMAL,659.8354447,2,0,4945.49328,14.61589312,No,0,0,32.99177223,,,,
4297.647262,28,OPTIMAL,717.9238577,2,0,5015.57112,17.04006971,Yes,0,0,35.89619288,,,,
4284.82373,29,OPTIMAL,655.6639903,2,0,4940.48772,17.45706071,No,0,0,32.78319952,,,,
4332.454429,30,OPTIMAL,442.849811,2,0,4775.30424,0.687153448,No,0,0,22.14249055,,,,
4334.086313,31,OPTIMAL,446.2234871,2,0,4780.3098,27.81373748,No,0,0,22.31117436,,,,
4325.926894,32,OPTIMAL,429.3551064,2,0,4755.282,7.522658218,No,0,0,21.46775532,,,,
4286.491941,33,OPTIMAL,664.006899,2,0,4950.49884,32.84793363,No,0,0,33.20034495,,,,
4326.078924,34,OPTIMAL,844.6645559,2,0,5170.74348,17.6587037,Yes,0,0,42.23322779,,,,
4311.291991,35,OPTIMAL,534.090089,2,0,4845.38208,14.97385113,No,0,0,26.70450445,,,,
4288.160152,36,OPTIMAL,672.3498078,2,0,4960.50996,15.38579224,No,0,0,33.61749039,,,,
4328.846471,37,OPTIMAL,466.4800085,2,0,4795.32648,0.690466249,No,0,0,23.32400043,,,,
4316.558335,38,OPTIMAL,513.8070648,2,0,4830.3654,19.39652961,No,0,0,25.69035324,,,,
4305.876266,39,OPTIMAL,754.7448943,2,0,5060.62116,0.734963835,Yes,0,0,37.73724471,,,,
4288.471166,40,OPTIMAL,621.9831935,2,0,4910.45436,28.68759808,No,0,0,31.09915968,,,,
4306.794568,41,OPTIMAL,758.8321516,2,0,5065.62672,23.12566529,Yes,0,0,37.94160758,,,,
4336.180253,42,OPTIMAL,889.6243867,2,0,5225.80464,8.721209362,Yes,0,0,44.48121933,,,,
4325.160621,43,OPTIMAL,840.5772985,2,0,5165.73792,7.851383293,Yes,0,0,42.02886493,,,,
4304.03966,44,OPTIMAL,746.5703796,2,0,5050.61004,14.66516521,Yes,0,0,37.32851898,,,,
4341.690069,45,OPTIMAL,914.1479308,2,0,5255.838,33.3628076,Yes,0,0,45.70739654,,,,
4289.828364,46,OPTIMAL,680.6927165,2,0,4970.52108,25.49784353,No,0,0,34.03463582,,,,
4293.737511,47,OPTIMAL,601.7001694,2,0,4895.43768,13.43477062,No,0,0,30.08500847,,,,
4309.536543,48,OPTIMAL,540.851097,2,0,4850.38764,33.88116451,No,0,0,27.04255485,,,,
4334.086313,1,OPTIMAL,446.2234871,3,0,4780.3098,35.97112338,No,0,0,22.31117436,,,,
4288.598411,2,OPTIMAL,674.5415889,3,0,4963.14,29.7642973,No,0,0,33.72707944,,,,
4346.826338,3,OPTIMAL,937.0088617,3,0,5283.8352,39.97474834,Yes,0,0,46.85044308,,,,
4305.736186,4,OPTIMAL,754.1214143,3,0,5059.8576,14.38174624,Yes,0,0,37.70607072,,,,
4299.223888,5,OPTIMAL,725.0009122,3,0,5024.2248,13.01401367,Yes,0,0,36.25004561,,,,
4326.281262,6,OPTIMAL,845.565138,3,0,5171.8464,5.169689556,Yes,0,0,42.2782569,,,,
4324.413528,7,OPTIMAL,837.2520722,3,0,5161.6656,27.72315328,Yes,0,0,41.86260361,,,,
4320.678059,8,OPTIMAL,820.6259406,3,0,5141.304,8.128847214,Yes,0,0,41.03129703,,,,
4320.678059,9,OPTIMAL,820.6259406,3,0,5141.304,2.567004383,Yes,0,0,41.03129703,,,,
4286.053682,10,OPTIMAL,661.8151179,3,0,4947.8688,22.6008858,No,0,0,33.0907559,,,,
4339.355401,11,OPTIMAL,903.7565985,3,0,5243.112,10.17758042,Yes,0,0,45.18782993,,,,
4339.355401,12,OPTIMAL,903.7565985,3,0,5243.112,19.80797909,Yes,0,0,45.18782993,,,,
4328.148996,13,OPTIMAL,853.8782038,3,0,5182.0272,23.42507384,Yes,0,0,42.69391019,,,,
4298.557554,14,OPTIMAL,583.1360456,3,0,4881.6936,20.64087918,No,0,0,29.15680228,,,,
4316.942591,15,OPTIMAL,803.9998091,3,0,5120.9424,24.38001542,Yes,0,0,40.19999045,,,,
4347.760205,16,OPTIMAL,941.1653946,3,0,5288.9256,5.748671408,Yes,0,0,47.05826973,,,,
4339.355401,17,OPTIMAL,903.7565985,3,0,5243.112,16.30601594,Yes,0,0,45.18782993,,,,
4294.586754,18,OPTIMAL,704.186046,3,0,4998.7728,38.7077591,Yes,0,0,35.2093023,,,,
4285.205439,19,OPTIMAL,657.572961,3,0,4942.7784,0.817147462,No,0,0,32.87864805,,,,
4357.098876,20,OPTIMAL,982.7307235,3,0,5339.8296,26.94145978,Yes,0,0,49.13653618,,,,
4298.296461,21,OPTIMAL,720.837939,3,0,5019.1344,38.05998274,Yes,0,0,36.04189695,,,,
4341.223136,22,OPTIMAL,912.0696643,3,0,5253.2928,22.0465105,Yes,0,0,45.60348322,,,,
4318.810325,23,OPTIMAL,812.3128749,3,0,5131.1232,36.92191352,Yes,0,0,40.61564374,,,,
4293.20195,24,OPTIMAL,603.7628498,3,0,4896.9648,2.829387287,No,0,0,30.18814249,,,,
4329.082863,25,OPTIMAL,858.0347367,3,0,5187.1176,6.484412438,Yes,0,0,42.90173683,,,,
4284.277046,26,OPTIMAL,638.1397536,3,0,4922.4168,18.80588504,No,0,0,31.90698768,,,,
4343.09087,27,OPTIMAL,920.3827301,3,0,5263.4736,34.958349,Yes,0,0,46.01913651,,,,
4287.750168,28,OPTIMAL,670.2994319,3,0,4958.0496,26.4482222,No,0,0,33.51497159,,,,
4314.624367,29,OPTIMAL,521.255633,3,0,4835.88,34.06327666,No,0,0,26.06278165,,,,
4331.884465,30,OPTIMAL,870.5043354,3,0,5202.3888,1.301342586,Yes,0,0,43.52521677,,,,
4298.557554,31,OPTIMAL,583.1360456,3,0,4881.6936,4.02748862,No,0,0,29.15680228,,,,
4284.277046,32,OPTIMAL,638.1397536,3,0,4922.4168,37.20515635,No,0,0,31.90698768,,,,
4357.098876,33,OPTIMAL,982.7307235,3,0,5339.8296,16.65675314,Yes,0,0,49.13653618,,,,
