Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,,,0.181951013,0.830247033,,,,,133.3333333,133.3333333
4414.587991,47,OPTIMAL,88.88888889,1,0,4503.47688,21.07378773,No,0,0,0.666666667,133.3333333,,,,,,,,,
4675.725511,48,OPTIMAL,88.88888889,1,0,4764.6144,23.02957654,No,0,0,0.666666667,133.3333333,,,,,,,,,
4058.334157,1,OPTIMAL,339.7714435,2,0,4398.1056,22.6716389,No,0,0,0.509657165,666.6666667,,,,,,,,,
4551.82261,2,OPTIMAL,618.9208702,2,0,5170.74348,37.23346908,No,0,0,0.928381305,666.6666667,,,,,,,,,
4282.015387,3,OPTIMAL,533.3333333,2,0,4815.34872,8.170210199,No,0,0,0.8,666.6666667,,,,,,,,,
4346.038899,4,OPTIMAL,539.3876609,2,0,4885.42656,10.5365674,No,0,0,0.809081491,666.6666667,,,,,,,,,
4392.129236,5,OPTIMAL,558.3696036,2,0,4950.49884,8.936687003,No,0,0,0.837554405,666.6666667,,,,,,,,,
4522.585527,6,OPTIMAL,608.1134728,2,0,5130.699,10.21177602,No,0,0,0.912170209,666.6666667,,,,,,,,,
4356.668199,7,OPTIMAL,543.7750407,2,0,4900.44324,16.13903193,No,0,0,0.815662561,666.6666667,,,,,,,,,
4363.75582,8,OPTIMAL,546.6985396,2,0,4910.45436,14.29586141,No,0,0,0.820047809,666.6666667,,,,,,,,,
4322.059867,9,OPTIMAL,533.3333333,2,0,4855.3932,25.94803121,No,0,0,0.8,666.6666667,,,,,,,,,
4563.537938,10,OPTIMAL,622.2222222,2,0,5185.76016,1.140083332,No,0,0,0.933333333,666.6666667,,,,,,,,,
4515.280364,11,OPTIMAL,605.4075157,2,0,5120.68788,9.734659633,No,0,0,0.908111273,666.6666667,,,,,,,,,
4282.015387,12,OPTIMAL,533.3333333,2,0,4815.34872,26.04254501,No,0,0,0.8,666.6666667,,,,,,,,,
4266.998707,13,OPTIMAL,533.3333333,2,0,4800.33204,24.80467617,No,0,0,0.8,666.6666667,,,,,,,,,
4342.514915,14,OPTIMAL,537.9060851,2,0,4880.421,28.33279997,No,0,0,0.806859128,666.6666667,,,,,,,,,
4467.796806,15,OPTIMAL,587.8187943,2,0,5055.6156,28.32381349,No,0,0,0.881728191,666.6666667,,,,,,,,,
4526.238109,16,OPTIMAL,609.4664513,2,0,5135.70456,25.51018252,No,0,0,0.914199677,666.6666667,,,,,,,,,
4537.195853,17,OPTIMAL,613.525387,2,0,5150.72124,18.05866846,No,0,0,0.920288081,666.6666667,,,,,,,,,
4613.593538,18,OPTIMAL,622.2222222,2,0,5235.81576,29.85683376,No,0,0,0.933333333,666.6666667,,,,,,,,,
4335.466946,19,OPTIMAL,534.9429335,2,0,4870.40988,23.57377256,No,0,0,0.8024144,666.6666667,,,,,,,,,
4413.586662,20,OPTIMAL,566.9455378,2,0,4980.5322,35.964287,No,0,0,0.850418307,666.6666667,,,,,,,,,
4346.038899,21,OPTIMAL,539.3876609,2,0,4885.42656,28.79299607,No,0,0,0.809081491,666.6666667,,,,,,,,,
4507.975201,22,OPTIMAL,602.7015585,2,0,5110.67676,29.56550939,No,0,0,0.904052338,666.6666667,,,,,,,,,
4438.620326,23,OPTIMAL,576.9507945,2,0,5015.57112,13.66900775,No,0,0,0.865426192,666.6666667,,,,,,,,,
