Existing Gen (MW),Installed New Gen (MW),Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Op Cost (M$),Op Condition,Demand (MW),Congestion,Load Shed (MW),L %,UU %,0,68.0491199
7826.937691,4055.555556,OPTIMAL,1789.641509,1,0,33.04028251,46,9616.5792,Yes,0,0,44.12814681,,
7741.23518,4055.555556,OPTIMAL,1749.82642,1,0,20.905071,47,9491.0616,Yes,0,0,43.14640488,,
8117.007727,4055.555556,OPTIMAL,1924.400273,1,0,22.31424065,48,10041.408,Yes,0,0,47.45096563,,
7589.607661,4055.555556,OPTIMAL,1679.384339,2,0,23.09706393,1,9268.992,Yes,0,0,41.40947686,,
8457.571445,4055.555556,OPTIMAL,2439.752155,2,0,36.81149574,2,10897.3236,Yes,0,0,60.15827232,,
8190.01357,4055.555556,OPTIMAL,1958.31683,2,0,8.176657719,3,10148.3304,Yes,0,0,48.28726431,,
8290.316957,4055.555556,OPTIMAL,2005.702243,2,0,10.49612569,4,10296.0192,Yes,0,0,49.45567174,,
8336.488211,4055.555556,OPTIMAL,2096.670589,2,0,8.871001377,5,10433.1588,Yes,0,0,51.69872686,,
8437.595464,4055.555556,OPTIMAL,2375.334536,2,0,10.10087968,6,10812.93,Yes,0,0,58.56989266,,
8303.11685,4055.555556,OPTIMAL,2024.54995,2,0,16.06283962,7,10327.6668,Yes,0,0,49.92040972,,
8308.110845,4055.555556,OPTIMAL,2040.654355,2,0,14.22055786,8,10348.7652,Yes,0,0,50.31750463,,
8247.63691,4055.555556,OPTIMAL,1985.08709,2,0,25.8996882,9,10232.724,Yes,0,0,48.9473529,,
8465.062438,4055.555556,OPTIMAL,2463.908762,2,0,1.126919795,10,10928.9712,Yes,0,0,60.75391469,,
8432.601469,4055.555556,OPTIMAL,2359.230131,2,0,9.63010002,11,10791.8316,Yes,0,0,58.17279774,,
8190.01357,4055.555556,OPTIMAL,1958.31683,2,0,26.06309648,12,10148.3304,Yes,0,0,48.28726431,,
8168.404817,4055.555556,OPTIMAL,1948.277983,2,0,24.8493385,13,10116.6828,Yes,0,0,48.03973109,,
8283.58207,4055.555556,OPTIMAL,2001.88793,2,0,28.23291265,14,10285.47,Yes,0,0,49.36162019,,
8400.294856,4055.555556,OPTIMAL,2254.397144,2,0,28.04212371,15,10654.692,Yes,0,0,55.58787479,,
8440.092462,4055.555556,OPTIMAL,2383.386738,2,0,25.23164346,16,10823.4792,Yes,0,0,58.76844012,,
8447.583455,4055.555556,OPTIMAL,2407.543345,2,0,17.85830782,17,10855.1268,Yes,0,0,59.36408249,,
8490.032413,4055.555556,OPTIMAL,2544.430787,2,0,29.4716869,18,11034.4632,Yes,0,0,62.73938927,,
8269.245663,4055.555556,OPTIMAL,1995.125937,2,0,23.50645814,19,10264.3716,Yes,0,0,49.19488612,,
8360.300619,4055.555556,OPTIMAL,2136.153381,2,0,35.64334421,20,10496.454,Yes,0,0,52.67227514,,
8290.316957,4055.555556,OPTIMAL,2005.702243,2,0,28.68248209,21,10296.0192,Yes,0,0,49.45567174,,
8427.607474,4055.555556,OPTIMAL,2343.125726,2,0,29.25147693,22,10770.7332,Yes,0,0,57.77570283,,
8381.369244,4055.555556,OPTIMAL,2188.929156,2,0,13.54048438,23,10570.2984,Yes,0,0,53.97359563,,
8336.488211,4055.555556,OPTIMAL,2096.670589,2,0,17.31957412,24,10433.1588,Yes,0,0,51.69872686,,
8153.998982,4055.555556,OPTIMAL,1941.585418,2,0,20.21782378,25,10095.5844,Yes,0,0,47.87470894,,
8319.723724,4055.555556,OPTIMAL,2071.238276,2,0,27.53154567,26,10390.962,Yes,0,0,51.07162871,,
8332.300186,4055.555556,OPTIMAL,2090.309414,2,0,15.08305658,27,10422.6096,Yes,0,0,51.54187595,,
8381.369244,4055.555556,OPTIMAL,2188.929156,2,0,17.62412252,28,10570.2984,Yes,0,0,53.97359563,,
8328.108032,4055.555556,OPTIMAL,2083.952368,2,0,18.01394231,29,10412.0604,Yes,0,0,51.38512687,,
8132.390229,4055.555556,OPTIMAL,1931.546571,2,0,0.708613039,30,10063.9368,Yes,0,0,47.62717572,,
8139.593147,4055.555556,OPTIMAL,1934.892853,2,0,28.6828021,31,10074.486,Yes,0,0,47.7096868,,
8103.578559,4055.555556,OPTIMAL,1918.161441,2,0,7.757098622,32,10021.74,Yes,0,0,47.29713143,,
8336.488211,4055.555556,OPTIMAL,2096.670589,2,0,33.89989812,33,10433.1588,Yes,0,0,51.69872686,,
8457.571445,4055.555556,OPTIMAL,2439.752155,2,0,18.40574787,34,10897.3236,Yes,0,0,60.15827232,,
8233.231075,4055.555556,OPTIMAL,1978.394525,2,0,15.44123429,35,10211.6256,Yes,0,0,48.78233075,,
8344.42568,4055.555556,OPTIMAL,2109.83152,2,0,15.88061805,36,10454.2572,Yes,0,0,52.02324295,,
8161.201899,4055.555556,OPTIMAL,1944.931701,2,0,0.712035295,37,10106.1336,Yes,0,0,47.95722002,,
8211.622322,4055.555556,OPTIMAL,1968.355678,2,0,20.00210389,38,10179.978,Yes,0,0,48.53479753,,
8402.660557,4055.555556,OPTIMAL,2262.580643,2,0,0.761905774,39,10665.2412,Yes,0,0,55.78965968,,
8308.110845,4055.555556,OPTIMAL,2040.654355,2,0,29.5913079,40,10348.7652,Yes,0,0,50.31750463,,
8405.134496,4055.555556,OPTIMAL,2270.655904,2,0,23.97945071,41,10675.7904,Yes,0,0,55.98877571,,
8485.038418,4055.555556,OPTIMAL,2528.326382,2,0,9.113877725,42,11013.3648,Yes,0,0,62.34229435,,
8455.074447,4055.555556,OPTIMAL,2431.699953,2,0,8.18156504,43,10886.7744,Yes,0,0,59.95972486,,
8397.929154,4055.555556,OPTIMAL,2246.213646,2,0,15.19519707,44,10644.1428,Yes,0,0,55.38608989,,
8500.020403,4055.555556,OPTIMAL,2576.639597,2,0,34.91351555,45,11076.66,Yes,0,0,63.5335791,,
8352.36315,4055.555556,OPTIMAL,2122.99245,2,0,26.32133484,46,10475.3556,Yes,0,0,52.34775905,,
8300.619853,4055.555556,OPTIMAL,2016.497747,2,0,13.85524406,47,10317.1176,Yes,0,0,49.72186226,,
8240.433993,4055.555556,OPTIMAL,1981.740807,2,0,34.93862324,48,10222.1748,Yes,0,0,48.86484182,,
8139.593147,4055.555556,OPTIMAL,1934.892853,3,0,37.09507268,1,10074.486,Yes,0,0,47.7096868,,
8346.510948,4055.555556,OPTIMAL,2113.289052,3,0,30.72261308,2,10459.8,Yes,0,0,52.10849718,,
8513.986661,4055.555556,OPTIMAL,2621.677339,3,0,41.8863291,3,11135.664,Yes,0,0,64.64409878,,
8402.299688,4055.555556,OPTIMAL,2261.332312,3,0,14.90838114,4,10663.632,Yes,0,0,55.75887893,,
8385.459101,4055.555556,OPTIMAL,2203.076899,3,0,13.46614429,5,10588.536,Yes,0,0,54.32244409,,
8458.121631,4055.555556,OPTIMAL,2441.526369,3,0,5.388676231,6,10899.648,Yes,0,0,60.20202006,,
8453.042992,4055.555556,OPTIMAL,2425.149008,3,0,28.88335721,7,10878.192,Yes,0,0,59.79819473,,
8442.885713,4055.555556,OPTIMAL,2392.394287,3,0,8.460685904,8,10835.28,Yes,0,0,58.99054405,,
8442.885713,4055.555556,OPTIMAL,2392.394287,3,0,2.671795549,9,10835.28,Yes,0,0,58.99054405,,
8334.289683,4055.555556,OPTIMAL,2093.326317,3,0,23.32394175,10,10427.616,Yes,0,0,51.61626534,,
8493.672104,4055.555556,OPTIMAL,2556.167896,3,0,10.64438257,11,11049.84,Yes,0,0,63.02879743,,
8493.672104,4055.555556,OPTIMAL,2556.167896,3,0,20.71648652,12,11049.84,Yes,0,0,63.02879743,,
8463.20027,4055.555556,OPTIMAL,2457.90373,3,0,24.42924792,13,10921.104,Yes,0,0,60.6058454,,
8285.294329,4055.555556,OPTIMAL,2002.857671,3,0,21.28497405,14,10288.152,Yes,0,0,49.3855316,,
8432.728435,4055.555556,OPTIMAL,2359.639565,3,0,25.34998675,15,10792.368,Yes,0,0,58.18289338,,
8516.52598,4055.555556,OPTIMAL,2629.86602,3,0,6.024961127,16,11146.392,Yes,0,0,64.84601144,,
8493.672104,4055.555556,OPTIMAL,2556.167896,3,0,17.05390327,17,11049.84,Yes,0,0,63.02879743,,
8373.43011,4055.555556,OPTIMAL,2161.46589,3,0,39.99921186,18,10534.896,Yes,0,0,53.29641921,,
8330.026476,4055.555556,OPTIMAL,2086.861524,3,0,0.843237964,19,10416.888,Yes,0,0,51.4568595,,
8558.985034,4055.555556,OPTIMAL,2694.686966,3,0,28.30426178,20,11253.672,Yes,0,0,66.44433615,,
8383.053303,4055.555556,OPTIMAL,2194.754697,3,0,39.37181913,21,10577.808,Yes,0,0,54.11723912,,
8498.750743,4055.555556,OPTIMAL,2572.545257,3,0,23.06853238,22,11071.296,Yes,0,0,63.43262276,,
8437.807074,4055.555556,OPTIMAL,2376.016926,3,0,38.41005627,23,10813.824,Yes,0,0,58.58671871,,
8301.381649,4055.555556,OPTIMAL,2018.954351,3,0,2.91799875,24,10320.336,Yes,0,0,49.78243606,,
8465.739589,4055.555556,OPTIMAL,2466.092411,3,0,6.764023498,25,10931.832,Yes,0,0,60.80775807,,
8314.078246,4055.555556,OPTIMAL,2059.897754,3,0,19.40134517,26,10373.976,Yes,0,0,50.79199941,,
8503.829383,4055.555556,OPTIMAL,2588.922617,3,0,36.59604707,27,11092.752,Yes,0,0,63.8364481,,
8342.474946,4055.555556,OPTIMAL,2106.597054,3,0,27.29794725,28,10449.072,Yes,0,0,51.943489,,
