Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW)
4101.041274330305,1,OPTIMAL,140.958725669694,1,0.0,4242.0,5.05626130732721,No,0.0
4322.092339765892,2,OPTIMAL,373.801660234108,1,0.0,4695.893999999998,8.372125948868504,No,0.0
4254.873617574023,3,OPTIMAL,271.5100624259761,1,0.0,4526.383680000001,10.243940911175152,No,0.0
4213.129084958071,4,OPTIMAL,235.3714750419291,1,0.0,4448.50056,14.296096188248518,No,0.0
4205.762402731727,5,OPTIMAL,228.99407726827397,1,0.0,4434.75648,0.36065156729943976,No,0.0
4203.306841989612,6,OPTIMAL,226.86827801038825,1,0.0,4430.175119999998,29.17835415232151,No,0.0
4272.062542768827,7,OPTIMAL,286.39065723117244,1,0.0,4558.453200000001,30.514318356058855,No,0.0
4309.586856368991,8,OPTIMAL,349.65626363100847,1,0.0,4659.243119999996,31.66535926998303,No,0.0
4328.345081464342,9,OPTIMAL,385.87435853565773,1,0.0,4714.21944,35.860194068772536,No,0.0
4200.851281247496,10,OPTIMAL,224.74247875250325,1,0.0,4425.593760000001,8.905090135757568,No,0.0
4161.195885178033,11,OPTIMAL,191.09611482196675,1,0.0,4352.292,29.65274528302008,No,0.0
4257.3291783161385,12,OPTIMAL,273.63586168386126,1,0.0,4530.965039999999,7.299125933886208,No,0.0
4318.965968916667,13,OPTIMAL,367.76531108333245,1,0.0,4686.731280000001,4.896912726592915,No,0.0
4208.21796347384,14,OPTIMAL,231.119876526159,1,0.0,4439.337840000001,7.853414747735592,No,0.0
4295.518187547477,15,OPTIMAL,322.49269245252356,1,0.0,4618.010880000001,26.531212267384696,No,0.0
4309.586856368991,16,OPTIMAL,349.65626363100847,1,0.0,4659.243119999996,15.069658929690718,No,0.0
4218.040206442301,17,OPTIMAL,239.62307355769914,1,0.0,4457.66328,11.427457590080047,No,0.0
4195.940159763267,18,OPTIMAL,220.49088023673306,1,0.0,4416.4310399999995,29.7929891075104,No,0.0
4328.102980947855,19,OPTIMAL,436.51141905214814,1,0.0,4764.614399999997,34.06201110391254,No,0.0
4240.140253121334,20,OPTIMAL,258.75526687866557,1,0.0,4498.895520000001,1.0998035606043721,No,0.0
4242.595813863449,21,OPTIMAL,260.8810661365508,1,0.0,4503.47688,6.147688174882181,No,0.0
4245.051374605564,22,OPTIMAL,263.0068653944359,1,0.0,4508.058239999999,4.685001939640114,No,0.0
4193.4845990211525,23,OPTIMAL,218.3650809788479,1,0.0,4411.84968,11.29359114978465,No,0.0
4213.129084958071,24,OPTIMAL,235.3714750419291,1,0.0,4448.50056,35.378313984842855,No,0.0
4262.240299800368,25,OPTIMAL,277.8874601996322,1,0.0,4540.12776,16.48395443257853,No,0.0
4200.851281247496,26,OPTIMAL,224.74247875250325,1,0.0,4425.593760000001,28.064526488448095,No,0.0
4191.029038279037,27,OPTIMAL,216.239281720963,1,0.0,4407.26832,3.5810173034143213,No,0.0
4267.151421284598,28,OPTIMAL,282.13905871540226,1,0.0,4549.29048,6.218871123293228,No,0.0
4329.484475867019,29,OPTIMAL,393.897684132975,1,0.0,4723.382159999999,32.936717499310326,No,0.0
4264.6958605424825,30,OPTIMAL,280.0132594575173,1,0.0,4544.70912,9.549411064635354,No,0.0
4168.692075145211,31,OPTIMAL,197.3440048547883,1,0.0,4366.036079999999,33.56816093262774,No,0.0
4235.229131637105,32,OPTIMAL,254.5036683628951,1,0.0,4489.732800000001,7.223587014005231,No,0.0
4195.940159763267,33,OPTIMAL,220.49088023673306,1,0.0,4416.4310399999995,25.84452067157529,No,0.0
4298.6445583967015,34,OPTIMAL,328.52904160329706,1,0.0,4627.173599999998,0.3785222466098437,No,0.0
4205.762402731727,35,OPTIMAL,228.99407726827397,1,0.0,4434.75648,16.409646312124508,No,0.0
4281.449518725964,36,OPTIMAL,295.329121274038,1,0.0,4576.778640000003,21.0277491414333,No,0.0
4227.862449410761,37,OPTIMAL,248.12627058924033,1,0.0,4475.988719999998,16.948149007244975,No,0.0
4168.692075145211,38,OPTIMAL,197.3440048547883,1,0.0,4366.036079999999,4.162806237027714,No,0.0
4242.595813863449,39,OPTIMAL,260.8810661365508,1,0.0,4503.47688,15.231585627320031,No,0.0
4328.84511832681,40,OPTIMAL,440.35064167319393,1,0.0,4769.195759999997,18.226804478303375,No,0.0
4245.051374605564,41,OPTIMAL,263.0068653944359,1,0.0,4508.058239999999,29.028639469142664,No,0.0
4220.495767184415,42,OPTIMAL,241.74887281558415,1,0.0,4462.244640000001,29.782515149110672,No,0.0
4329.908266888955,43,OPTIMAL,388.89253311104346,1,0.0,4718.800800000001,0.38705969243999855,No,0.0
4161.195885178033,44,OPTIMAL,191.09611482196675,1,0.0,4352.292,17.82694805705374,No,0.0
4311.150041793603,45,OPTIMAL,352.6744382063989,1,0.0,4663.824479999999,2.291623349651436,No,0.0
4274.518103510942,46,OPTIMAL,288.5164564890573,1,0.0,4563.034560000002,32.039369353565526,No,0.0
4242.595813863449,47,OPTIMAL,260.8810661365508,1,0.0,4503.47688,20.278195323118837,No,0.0
4328.102980947855,48,OPTIMAL,436.51141905214814,1,0.0,4764.614399999997,21.631334637829514,No,0.0
4186.117916794808,1,OPTIMAL,211.9876832051925,2,0.0,4398.1056,22.417549489219866,No,0.0
4333.505316289948,2,OPTIMAL,837.2381637100526,2,0.0,5170.743480000002,35.31057970536961,No,0.0
4295.1985406280055,3,OPTIMAL,520.1501793719972,2,0.0,4815.34872,7.923992644977753,No,0.0
