Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW)
6254.229999999998,1,OPTIMAL,0.0,1,0.0,6254.23,3.689995699999999,Yes,0.0
6673.5135792,2,OPTIMAL,0.0,1,0.0,6673.5135792,5.805956813904,Yes,0.0
6558.685916399999,3,OPTIMAL,0.0,1,0.0,6558.6859164,7.280141367203999,Yes,0.0
6538.422211200001,4,OPTIMAL,0.0,1,0.0,6538.422211200001,10.330707093696,Yes,0.0
6531.667642799999,5,OPTIMAL,0.0,1,0.0,6531.667642799999,0.26126670571199995,Yes,0.0
6720.795557999999,6,OPTIMAL,0.0,1,0.0,6720.795558000001,21.775377607919996,Yes,0.0
6860.498311430734,7,OPTIMAL,0.0,1,0.29184624491193195,6869.3960627999995,22.502434461492808,Yes,8.897751369266217
6888.107782621662,8,OPTIMAL,0.0,1,2.069790952480886,6950.450883600001,22.86851783830392,Yes,62.34310097833995
6524.9130743999995,9,OPTIMAL,0.0,1,0.0,6524.9130744,24.207427506024,Yes,0.0
6416.839980000002,10,OPTIMAL,0.0,1,0.0,6416.83998,6.352671580200001,Yes,0.0
6680.268147599999,11,OPTIMAL,0.0,1,0.0,6680.2681476,22.445700975936,Yes,0.0
6874.303047026198,12,OPTIMAL,0.0,1,0.2814013667730371,6909.9234732,5.430699407150697,Yes,35.62042617380217
6545.176779599999,13,OPTIMAL,0.0,1,0.0,6545.1767796,3.3380401575959993,Yes,0.0
6808.6049472,14,OPTIMAL,0.0,1,0.0,6808.604947200001,5.923486304064001,Yes,0.0
6860.498311430734,15,OPTIMAL,0.0,1,0.2500268134763807,6869.3960627999995,19.27800025512036,Yes,8.897751369266217
6572.1950532,16,OPTIMAL,0.0,1,0.0,6572.195053200001,10.384068184056,Yes,0.0
6511.4039376,17,OPTIMAL,0.0,1,0.0,6511.403937600001,8.204368961376,Yes,0.0
6913.41646454668,18,OPTIMAL,0.0,1,3.696311092250303,7024.751136000002,22.952542662294974,Yes,111.33467145332239
6632.9861688,19,OPTIMAL,0.0,1,0.0,6632.9861688,23.082791867424003,Yes,0.0
6639.740737200001,20,OPTIMAL,0.0,1,0.0,6639.740737200002,0.7967688884640001,Yes,0.0
6812.600547348252,1,OPTIMAL,336.0,2,11.920757278178879,7623.531116200001,17.94298737384411,Yes,474.93056885174826
6634.118950405667,2,OPTIMAL,336.0,2,4.2453950657341135,7099.5517268,22.861990157330588,Yes,129.43277639433273
6669.312504732374,3,OPTIMAL,336.0,2,1.5804728133410078,7202.871606399999,5.604250003785899,Yes,197.55910166762595
6701.99223375003,4,OPTIMAL,336.0,2,2.6342745345846907,7298.8114946,7.108372156087531,Yes,260.8192608499694
6792.489944875848,5,OPTIMAL,336.0,2,3.662410417042866,7564.491184999999,5.987931553695712,Yes,436.00124012415074
6676.853980659525,6,OPTIMAL,336.0,2,1.9306341594583156,7225.0115806,6.381697122400167,Yes,212.15759994047426
6681.881631277625,7,OPTIMAL,336.0,2,3.4171049546845387,7239.7715634,10.807537712167543,Yes,221.88993212237264
6654.2295528780705,8,OPTIMAL,336.0,2,2.289724629658231,7158.5916579999985,9.506712191914175,Yes,168.36210512192878
6820.1420232754035,9,OPTIMAL,336.0,2,12.287179584827358,7645.671090399999,17.96191647842126,Yes,489.529067124596
6787.462294257747,10,OPTIMAL,336.0,2,0.4262689079422524,7549.7312022,0.7123462294257747,Yes,426.26890794225244
6634.118950405667,11,OPTIMAL,336.0,2,1.1260651546306948,7099.5517268,6.064003486852931,Yes,129.43277639433273
6626.577474478516,12,OPTIMAL,336.0,2,2.9282740920978334,7077.411752599999,17.754572559920216,Yes,114.83427812148365
6666.798679423323,13,OPTIMAL,336.0,2,4.701707628070908,7195.491614999999,17.08682877779291,Yes,192.69293557667658
6754.782565240091,14,OPTIMAL,336.0,2,9.873837966269543,7453.791313999999,19.286928577453047,Yes,363.0087487599096
6795.003770184898,15,OPTIMAL,336.0,2,11.374379080349616,7571.8711764,18.397989727077036,Yes,440.8674062151014
6802.545246112049,16,OPTIMAL,336.0,2,10.33907603187646,7594.011150599999,16.204497708674353,Yes,455.46590448794973
6845.280276365909,17,OPTIMAL,336.0,2,8.611051648545473,7719.471004400001,11.490048442185454,Yes,538.190728034092
6661.771028805222,18,OPTIMAL,336.0,2,4.720383567585268,7180.731632199999,18.05424925431747,Yes,182.96060339477782
6717.0751856043335,19,OPTIMAL,336.0,2,6.583369042881619,7343.091442999999,16.010480671321833,Yes,290.01625739566606
6669.312504732374,20,OPTIMAL,336.0,2,6.618229905865469,7202.871606399999,23.46779689085345,Yes,197.55910166762595
6708.340707835599,1,OPTIMAL,336.0,3,9.99576715321708,7317.4491,25.78228699067829,Yes,273.1083921644011
6869.395956449342,2,OPTIMAL,336.0,3,16.961315014969063,7790.2688880000005,20.89564827370309,Yes,584.8729315506573
6756.91292567149,3,OPTIMAL,336.0,3,13.29020078349208,7460.045544,25.67634479093079,Yes,367.1326183285105
6739.01789804774,4,OPTIMAL,336.0,3,4.5551419611459645,7407.510011999999,9.692774520325404,Yes,332.4921139522602
6813.1544410604165,5,OPTIMAL,336.0,3,5.950034686744816,7625.1572160000005,8.93644305132552,Yes,476.00277493958527
6808.041576025059,6,OPTIMAL,336.0,3,2.237306342279722,7610.147064,3.4291399564920284,Yes,466.1054879749421
6797.815845954345,7,OPTIMAL,336.0,3,11.5148215823779,7580.126759999999,18.40524488256221,Yes,446.31091404565507
6797.815845954345,8,OPTIMAL,336.0,3,3.391962946746979,7580.126759999999,5.421700042925303,Yes,446.31091404565507
6700.671410282563,9,OPTIMAL,336.0,3,0.6198299081218477,7294.933872,1.6888011384678152,Yes,258.2624617174365
6848.944496307915,10,OPTIMAL,336.0,3,12.050771619595116,7730.228279999999,15.878727336840493,Yes,545.2837836920867
6848.944496307915,11,OPTIMAL,336.0,3,5.071139188336406,7730.228279999999,6.681998381566361,Yes,545.2837836920867
6818.267306095772,12,OPTIMAL,336.0,3,8.79479112046652,7640.167368,12.949223824033348,Yes,485.90006190422764
6667.4377875527425,13,OPTIMAL,336.0,3,4.208283092905475,7197.367883999998,15.19745999898945,Yes,193.93009644725691
6787.590115883631,14,OPTIMAL,336.0,3,8.743584972385584,7550.106456000001,14.603359737561442,Yes,426.51634011637
6871.95238896702,15,OPTIMAL,336.0,3,13.506914068255211,7797.773963999999,16.50621097073448,Yes,589.8215750329787
6848.944496307915,16,OPTIMAL,336.0,3,2.8354756751988504,7730.228279999999,3.7361711380801155,Yes,545.2837836920867
6726.235735459348,17,OPTIMAL,336.0,3,4.585458558455722,7369.984632,10.522731245834427,Yes,307.7488965406525
6698.114977764884,18,OPTIMAL,336.0,3,9.47393680199331,7287.428796000001,26.307590016840663,Yes,253.31381823511526
6897.516714143805,19,OPTIMAL,336.0,3,0.5114464078849554,7872.824723999999,0.5786813371315044,Yes,639.3080098561943
6736.461465530061,20,OPTIMAL,336.0,3,7.89379763832552,7400.004936,17.044632131927447,Yes,327.5434704699386
6418.624613378184,1,OPTIMAL,900.0,4,6.593264112798891,8122.681212499999,6.001272182970111,Yes,804.0565991218159
6389.332157446453,2,OPTIMAL,900.0,4,16.815451332454916,8036.685550000001,16.400997354254518,Yes,747.3533925535519
6444.873865112733,3,OPTIMAL,900.0,4,9.244640401782474,8200.859087499999,7.93246377432175,Yes,855.9852223872663
6418.624613378184,4,OPTIMAL,900.0,4,17.367622541031224,8122.681212499999,15.808229164896877,Yes,804.0565991218159
6194.9367680813175,5,OPTIMAL,900.0,4,6.048119799024493,7465.9870624999985,11.56474693197255,Yes,371.0502944186805
6309.443641268999,6,OPTIMAL,900.0,4,13.335936383947516,7802.151925,16.22124819285525,Yes,592.7082837310007
6384.006256367955,7,OPTIMAL,900.0,4,23.585398996225408,8021.049975000001,23.308820020377457,Yes,737.0437186320439
6288.140036955013,8,OPTIMAL,900.0,4,14.613944083192262,7739.609625000001,19.048571097930783,Yes,551.469588044991
6429.276415535178,9,OPTIMAL,900.0,4,5.937666818146728,8153.952362499999,5.277079019185328,Yes,824.6759469648234
6431.939366074426,10,OPTIMAL,900.0,4,2.7384415869544014,8161.770150000001,2.4195399908045614,Yes,829.830783925576
6194.9367680813175,11,OPTIMAL,900.0,4,11.502559126979095,7465.9870624999985,21.994303981052088,Yes,371.0502944186805
6328.084295043738,12,OPTIMAL,900.0,4,4.527303425685083,7856.876437499999,5.204220692431492,Yes,628.7921424562614
6439.9282176921715,13,OPTIMAL,900.0,4,5.240830827808554,8185.223512499999,4.550755494969147,Yes,845.2952948078312
6328.084295043738,14,OPTIMAL,900.0,4,19.74407327312661,7856.876437499999,22.69618468643734,Yes,628.7921424562614
6373.354454210962,15,OPTIMAL,900.0,4,13.82699035622849,7989.778824999999,14.037574096627157,Yes,716.424370789041
6381.343305828706,16,OPTIMAL,900.0,4,6.001488829704606,8013.2321875,5.9707015107795405,Yes,731.8888816712933
6410.635761760439,17,OPTIMAL,900.0,4,15.45640492949536,8099.227850000001,14.328846093050458,Yes,788.5920882395592
6232.218075630795,18,OPTIMAL,900.0,4,9.263256448066379,7575.436087499999,14.906335778068366,Yes,443.2180118692047
6391.9951079857,19,OPTIMAL,900.0,4,20.39297301983753,8044.503337499998,19.761306742641246,Yes,752.5082295143001
6314.769542347496,20,OPTIMAL,900.0,4,13.025187885294033,7817.7875,15.58390221147059,Yes,603.0179576525015
6235.626652321034,1,OPTIMAL,900.0,5,0.8096691657221394,7585.4428555,1.284412797417786,Yes,449.8162031789663
6295.148922774315,2,OPTIMAL,900.0,5,16.386076448844914,7760.186041700001,20.865931876045515,Yes,565.0371189256866
6357.376750975471,3,OPTIMAL,900.0,5,10.076781630660578,7942.8721000000005,10.668343823933943,Yes,685.4953490245291
6249.154441060416,4,OPTIMAL,900.0,5,3.141618314601238,7625.1572160000005,4.718441931099875,Yes,476.0027749395815
6341.1434044882135,5,OPTIMAL,900.0,5,22.63087261674792,7895.214867400001,25.05435617952922,Yes,654.0714629117895
6297.854480522191,6,OPTIMAL,900.0,5,12.60306497543962,7768.128913799999,15.90725840195404,Yes,570.2744332778109
