Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW)
4910.057647997628,1,OPTIMAL,1344.1723520023718,1,0.0,6254.23,3.6899957,Yes,0.0
5252.924503413362,2,OPTIMAL,1420.5890757866377,1,0.0,6673.5135792,5.805956813904,Yes,0.0
5147.292867770324,3,OPTIMAL,1411.3930486296767,1,0.0,6558.6859164,7.280141367203999,Yes,0.0
5128.651990892141,4,OPTIMAL,1409.7702203078602,1,0.0,6538.422211200001,10.330707093696,Yes,0.0
5122.438365266078,5,OPTIMAL,1409.229277533921,1,0.0,6531.667642799999,0.261266705712,Yes,0.0
5472.450978156164,6,OPTIMAL,1248.344579843837,1,0.0,6720.795558000001,21.775377607920003,Yes,0.0
5394.90087686444,7,OPTIMAL,1474.4951859355601,1,0.0,6869.3960627999995,22.531619085984,Yes,0.0
5827.901330969177,8,OPTIMAL,1122.5495526308234,1,0.0,6950.450883600001,23.075496933552003,Yes,0.0
5116.224739640018,9,OPTIMAL,1408.6883347599821,1,0.0,6524.9130744,24.207427506024,Yes,0.0
5053.196023181783,10,OPTIMAL,1363.6439568182177,1,0.0,6416.83998,6.352671580199999,Yes,0.0
5259.138129039424,11,OPTIMAL,1421.1300185605764,1,0.0,6680.2681476,22.445700975936,Yes,0.0
5423.752435868906,12,OPTIMAL,1486.1710373310943,1,0.0,6909.9234732,5.458839543828,Yes,0.0
5134.865616518202,13,OPTIMAL,1410.311163081799,1,0.0,6545.1767796,3.3380401575960006,Yes,0.0
5351.6235383577405,14,OPTIMAL,1456.9814088422595,1,0.0,6808.604947200001,5.923486304064001,Yes,0.0
5394.90087686444,15,OPTIMAL,1474.4951859355601,1,0.0,6869.3960627999995,19.303002936468,Yes,0.0
5159.720119022446,16,OPTIMAL,1412.4749341775544,1,0.0,6572.195053200001,10.384068184056,Yes,0.0
5103.797488387896,17,OPTIMAL,1407.6064492121045,1,0.0,6511.403937600001,8.204368961376002,Yes,0.0
5896.149120761217,18,OPTIMAL,1128.6020152387841,1,0.0,7024.751136000002,23.322173771520006,Yes,0.0
5215.642749656995,19,OPTIMAL,1417.3434191430042,1,0.0,6632.9861688,23.082791867423996,Yes,0.0
5221.856375283058,20,OPTIMAL,1417.8843619169431,1,0.0,6639.740737200002,0.7967688884640002,Yes,0.0
5869.377805105359,1,OPTIMAL,1754.1533110946402,2,0.0,7623.531116200001,19.135063101662,Yes,0.0
5546.776604365218,2,OPTIMAL,1552.775122434782,2,0.0,7099.5517268,23.286529663904,Yes,0.0
5597.310379300902,3,OPTIMAL,1605.561227099096,2,0.0,7202.871606399999,5.762297285119999,Yes,0.0
5644.23459888404,4,OPTIMAL,1654.5768957159603,2,0.0,7298.8114946,7.371799609545999,Yes,0.0
5958.962265370857,5,OPTIMAL,1605.5289196291424,2,0.0,7564.491184999999,6.354172595399999,Yes,0.0
5608.139045358549,6,OPTIMAL,1616.8725352414492,2,0.0,7225.0115806,6.574760538345999,Yes,0.0
6042.274176566561,7,OPTIMAL,1197.4973868334373,2,0.0,7239.7715634,11.149248207635999,Yes,0.0
5575.6530471856095,8,OPTIMAL,1582.9386108143894,2,0.0,7158.5916579999985,9.735684654879998,Yes,0.0
5789.296017652046,9,OPTIMAL,1856.375072747953,2,0.0,7645.671090399999,19.190634436903995,Yes,0.0
5981.358380437231,10,OPTIMAL,1568.372821762768,2,0.0,7549.7312022,0.7549731202200001,Yes,0.0
5546.776604365218,11,OPTIMAL,1552.775122434782,2,0.0,7099.5517268,6.176610002316,Yes,0.0
5535.94793830757,12,OPTIMAL,1541.4638142924277,2,0.0,7077.411752599999,18.047399969129998,Yes,0.0
5593.700823948354,13,OPTIMAL,1601.7907910516446,2,0.0,7195.491614999999,17.556999540599996,Yes,0.0
6032.896727904697,14,OPTIMAL,1420.8945860953015,2,0.0,7453.791313999999,20.27431237408,Yes,0.0
5947.764207837669,15,OPTIMAL,1624.10696856233,2,0.0,7571.8711764,19.535427635112,Yes,0.0
5914.170035238108,16,OPTIMAL,1679.8411153618904,2,0.0,7594.011150599999,17.238405311861996,Yes,0.0
5868.388502912936,17,OPTIMAL,1851.0825014870647,2,0.0,7719.471004400001,12.351153607040004,Yes,0.0
5586.481713243257,18,OPTIMAL,1594.2499189567434,2,0.0,7180.731632199999,18.526287611075997,Yes,0.0
5665.8919309993325,19,OPTIMAL,1677.1995120006661,2,0.0,7343.091442999999,16.66881757561,Yes,0.0
5597.310379300902,20,OPTIMAL,1605.561227099096,2,0.0,7202.871606399999,24.129619881439993,Yes,0.0
5653.350255621833,1,OPTIMAL,1664.0988443781666,3,0.0,7317.4491,26.781863706,Yes,0.0
6663.0,2,OPTIMAL,1127.2688880000007,3,0.0,7790.2688880000005,22.591779775200006,Yes,0.0
6040.012221682769,3,OPTIMAL,1420.0333223172297,3,0.0,7460.045544,27.005364869279997,Yes,0.0
5980.2420739469635,4,OPTIMAL,1427.267938053036,3,0.0,7407.510011999999,10.14828871644,Yes,0.0
5774.138849990332,5,OPTIMAL,1851.0183660096673,3,0.0,7625.1572160000005,9.53144652,Yes,0.0
5889.686146733342,6,OPTIMAL,1720.4609172666574,3,0.0,7610.147064,3.65287059072,Yes,0.0
5935.237567207324,7,OPTIMAL,1644.8891927926757,3,0.0,7580.126759999999,19.556727040800002,Yes,0.0
5935.237567207324,8,OPTIMAL,1644.8891927926757,3,0.0,7580.126759999999,5.760896337600001,Yes,0.0
