year,existing_gen,candidate_gen,total_op
1,-1.9765948944437494e-8,0.0,-1.9765948944437494e-8
2,-1.5288833945702e-8,0.0,-1.5288833945702e-8
3,-1.1832084690864374e-8,0.0,-1.1832084690864374e-8
4,-9.145815691623078e-9,0.0,-9.145815691623078e-9
5,-7.08426041313558e-9,0.0,-7.08426041313558e-9
6,-5.480828529867515e-9,0.0,-5.480828529867515e-9
