model,scenario,region,variable,unit,time,value
PaCES,BAU,PE,New Capacity|Electricity|Solar|PV,MW,2050,0.0
PaCES,BAU,PE,New Capacity|Electricity|Gas|CCS,MW,2025,0.0
PaCES,BAU,PE,New Capacity|Electricity|Gas|CCS,MW,2030,0.0
PaCES,BAU,PE,New Capacity|Electricity|Gas|CCS,MW,2035,0.0
PaCES,BAU,PE,New Capacity|Electricity|Gas|CCS,MW,2040,0.0
PaCES,BAU,PE,New Capacity|Electricity|Gas|CCS,MW,2045,0.0
PaCES,BAU,PE,New Capacity|Electricity|Gas|CCS,MW,2050,0.0
PaCES,BAU,QC,New Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,QC,New Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,QC,New Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,QC,New Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,QC,New Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,QC,New Capacity|Electricity|Wind|Onshore,MW,2050,0.0
PaCES,BAU,QC,New Capacity|Electricity|Solar|PV,MW,2025,7777.777777777778
PaCES,BAU,QC,New Capacity|Electricity|Solar|PV,MW,2030,4444.444444444444
PaCES,BAU,QC,New Capacity|Electricity|Solar|PV,MW,2035,6888.88888888889
PaCES,BAU,QC,New Capacity|Electricity|Solar|PV,MW,2040,2444.4444444444443
PaCES,BAU,QC,New Capacity|Electricity|Solar|PV,MW,2045,444.44444444444446
PaCES,BAU,QC,New Capacity|Electricity|Solar|PV,MW,2050,0.0
PaCES,BAU,QC,New Capacity|Electricity|Gas|CCS,MW,2025,0.0
PaCES,BAU,QC,New Capacity|Electricity|Gas|CCS,MW,2030,0.0
PaCES,BAU,QC,New Capacity|Electricity|Gas|CCS,MW,2035,0.0
PaCES,BAU,QC,New Capacity|Electricity|Gas|CCS,MW,2040,0.0
PaCES,BAU,QC,New Capacity|Electricity|Gas|CCS,MW,2045,0.0
PaCES,BAU,QC,New Capacity|Electricity|Gas|CCS,MW,2050,0.0
PaCES,BAU,SK,New Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,SK,New Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,SK,New Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,SK,New Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,SK,New Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,SK,New Capacity|Electricity|Wind|Onshore,MW,2050,0.0
PaCES,BAU,SK,New Capacity|Electricity|Solar|PV,MW,2025,5777.777777777777
PaCES,BAU,SK,New Capacity|Electricity|Solar|PV,MW,2030,1555.5555555555554
PaCES,BAU,SK,New Capacity|Electricity|Solar|PV,MW,2035,8666.666666666666
PaCES,BAU,SK,New Capacity|Electricity|Solar|PV,MW,2040,0.0
PaCES,BAU,SK,New Capacity|Electricity|Solar|PV,MW,2045,0.0
PaCES,BAU,SK,New Capacity|Electricity|Solar|PV,MW,2050,0.0
PaCES,BAU,SK,New Capacity|Electricity|Gas|CCS,MW,2025,0.0
PaCES,BAU,SK,New Capacity|Electricity|Gas|CCS,MW,2030,0.0
PaCES,BAU,SK,New Capacity|Electricity|Gas|CCS,MW,2035,0.0
PaCES,BAU,SK,New Capacity|Electricity|Gas|CCS,MW,2040,0.0
PaCES,BAU,SK,New Capacity|Electricity|Gas|CCS,MW,2045,0.0
PaCES,BAU,SK,New Capacity|Electricity|Gas|CCS,MW,2050,0.0
PaCES,BAU,US,New Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,US,New Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,US,New Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,US,New Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,US,New Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,US,New Capacity|Electricity|Wind|Onshore,MW,2050,0.0
PaCES,BAU,US,New Capacity|Electricity|Solar|PV,MW,2025,444.44444444444446
PaCES,BAU,US,New Capacity|Electricity|Solar|PV,MW,2030,1555.5555555555554
PaCES,BAU,US,New Capacity|Electricity|Solar|PV,MW,2035,2000.0
PaCES,BAU,US,New Capacity|Electricity|Solar|PV,MW,2040,0.0
PaCES,BAU,US,New Capacity|Electricity|Solar|PV,MW,2045,0.0
PaCES,BAU,US,New Capacity|Electricity|Solar|PV,MW,2050,0.0
PaCES,BAU,US,New Capacity|Electricity|Gas|CCS,MW,2025,0.0
PaCES,BAU,US,New Capacity|Electricity|Gas|CCS,MW,2030,0.0
PaCES,BAU,US,New Capacity|Electricity|Gas|CCS,MW,2035,0.0
PaCES,BAU,US,New Capacity|Electricity|Gas|CCS,MW,2040,0.0
PaCES,BAU,US,New Capacity|Electricity|Gas|CCS,MW,2045,0.0
PaCES,BAU,US,New Capacity|Electricity|Gas|CCS,MW,2050,0.0
