year,existing_gen,candidate_gen,total_op
1,2.0805e7,1.6644e7,3.7449e7
2,1.60965e7,2.060352e7,3.670002e7
3,1.2461099999999998e7,2.2529668799999997e7,3.49907688e7
4,9.636e6,2.2972224e7,3.2608224e7
5,7.467900000000001e6,2.2463443200000003e7,2.9931343200000003e7
6,2.5554672e7,1.73910528e7,4.29457248e7
