year,existing_gen,candidate_gen,total_op
1,1748.2677053055322,0.0,1748.2677053055322
2,1632.5965073630905,0.0,1632.5965073630905
3,1525.5725145836082,0.0,1525.5725145836082
4,1433.6957839661713,0.0,1433.6957839661713
5,1353.4717312442406,0.0,1353.4717312442406
6,1196.931034039403,43.76872204829013,1240.699756087693
