year,gen_inv,line_inv,total_inv
1,0.0,6.65e6,6.65e6
2,0.0,0.0,0.0
3,4.325359145375395e7,-0.0,4.325359145375395e7
4,2.1750864017419e7,-0.0,2.1750864017419e7
5,2.0243775570381516e8,-0.0,2.0243775570381516e8
6,4.7968073143249595e8,264000.0,4.7994473143249595e8
