type,line_id,year,hour,flow_mw
existing,1,5,27,1000.0
existing,1,5,28,1000.0
existing,1,5,29,1000.0
existing,1,5,30,1000.0
existing,1,5,31,1000.0
existing,1,5,32,1000.0
existing,1,5,33,1000.0
existing,1,5,34,914.5484296641121
existing,1,5,35,772.7694623806528
existing,1,5,36,736.5191621583535
existing,1,5,37,811.8392362491338
existing,1,5,38,784.450116924934
existing,1,5,39,614.0736937278161
existing,1,5,40,527.8785255195762
existing,1,5,41,245.12615948101734
existing,1,5,42,-39.237327411180104
existing,1,5,43,99.3193900634592
existing,1,5,44,-19.46017557900086
existing,1,5,45,122.72156786709638
existing,1,5,46,631.3932793613765
existing,1,5,47,956.4376690772356
existing,1,5,48,1000.0
existing,1,6,1,1000.0
existing,1,6,2,1000.0
existing,1,6,3,1000.0
existing,1,6,4,1000.0
existing,1,6,5,1000.0
existing,1,6,6,1000.0
existing,1,6,7,1000.0
existing,1,6,8,1000.0
existing,1,6,9,1000.0
existing,1,6,10,911.345488932558
existing,1,6,11,757.6651687809467
existing,1,6,12,494.72080990291147
existing,1,6,13,112.76790867190948
existing,1,6,14,14.607935834828595
existing,1,6,15,-61.34389628966187
existing,1,6,16,-181.7120098393318
existing,1,6,17,-257.219675754691
existing,1,6,18,-512.16910540562
existing,1,6,19,-310.5192098913511
existing,1,6,20,-190.1510963416813
existing,1,6,21,-3.158569588131286
existing,1,6,22,453.41367407386133
existing,1,6,23,777.2083390404277
existing,1,6,24,1000.0
existing,1,6,25,1000.0
existing,1,6,26,1000.0
existing,1,6,27,1000.0
existing,1,6,28,1000.0
existing,1,6,29,1000.0
existing,1,6,30,1000.0
existing,1,6,31,973.9724419898266
existing,1,6,32,713.2488962896589
existing,1,6,33,450.30453741162137
existing,1,6,34,36.81607654741856
existing,1,6,35,-119.52922299119018
existing,1,6,36,-159.50386912674094
existing,1,6,37,-76.44543125951077
existing,1,6,38,130.95149880078952
existing,1,6,39,-294.52935143712966
existing,1,6,40,-389.58018761197127
existing,1,6,41,-463.7824542709309
existing,1,6,42,-446.8820727167149
existing,1,6,43,-617.750830207895
existing,1,6,44,-493.5413580015006
existing,1,6,45,-336.7519011876516
existing,1,6,46,-37.83035632066958
existing,1,6,47,320.6090049413401
existing,1,6,48,660.8376856373695
existing,2,1,1,150.0
existing,2,1,2,150.0
existing,2,1,3,150.0
existing,2,1,4,150.0
existing,2,1,5,150.0
existing,2,1,6,150.0
existing,2,1,7,150.0
existing,2,1,8,150.0
existing,2,1,9,150.0
existing,2,1,10,150.0
existing,2,1,11,150.0
existing,2,1,12,-150.0
existing,2,1,13,-150.0
existing,2,1,14,150.0
existing,2,1,15,150.0
existing,2,1,16,150.0
existing,2,1,17,150.0
existing,2,1,18,150.0
existing,2,1,19,150.0
existing,2,1,20,150.0
existing,2,1,21,150.0
existing,2,1,22,-150.0
existing,2,1,23,150.0
existing,2,1,24,150.0
existing,2,1,25,150.0
existing,2,1,26,150.0
existing,2,1,27,150.0
existing,2,1,28,150.0
existing,2,1,29,150.0
existing,2,1,30,150.0
existing,2,1,31,150.0
existing,2,1,32,76.14639623399671
existing,2,1,33,-150.0
existing,2,1,34,150.0
existing,2,1,35,150.0
existing,2,1,36,150.0
existing,2,1,37,150.0
existing,2,1,38,150.0
existing,2,1,39,150.0
existing,2,1,40,150.0
existing,2,1,41,150.0
existing,2,1,42,150.0
existing,2,1,43,150.0
existing,2,1,44,-111.01367125000024
existing,2,1,45,150.0
existing,2,1,46,150.0
existing,2,1,47,-150.0
existing,2,1,48,150.0
existing,2,2,1,150.0
existing,2,2,2,150.0
existing,2,2,3,150.0
existing,2,2,4,150.0
existing,2,2,5,150.0
existing,2,2,6,150.0
existing,2,2,7,150.0
