hour,demand_factor,wind_cf,solar_cf,weight
181,0.733563868,0.642,0.000,26
182,0.73276262,0.642,0.006,26
183,0.736853203,0.645,0.045,26
184,0.747480285,0.649,0.128,26
185,0.772909375,0.652,0.258,26
186,0.807658247,0.653,0.411,26
187,0.787837895,0.653,0.509,26
188,0.769535698,0.65,0.541,26
189,0.752751655,0.648,0.502,26
190,0.723780205,0.641,0.402,26
191,0.686796272,0.635,0.261,26
192,0.644878337,0.633,0.109,26
193,0.618015435,0.476,0.1,26
194,0.604689411,0.470,0.024,26
195,0.602623034,0.462,0.001,26
196,0.597731202,0.456,0,26
197,0.610846371,0.451,0,26
198,0.636739341,0.450,0,26
199,0.677898199,0.450,0,26
200,0.738877409,0.449,0,26
201,0.750896133,0.449,0,26
202,0.742208915,0.443,0,26
203,0.740564247,0.434,0,26
204,0.743600557,0.437,0.001,26
205,0.734744655,0.450,0.023,26
206,0.740142538,0.465,0.101,26
207,0.738202674,0.478,0.237,26
208,0.755872306,0.485,0.384,26
209,0.792223675,0.490,0.499,26
210,0.809977649,0.496,0.575,26
211,0.788596972,0.503,0.612,26
212,0.778180745,0.509,0.605,26
213,0.766499389,0.508,0.559,26
214,0.737274912,0.502,0.471,26
215,0.706405769,0.489,0.361,26
216,0.661915405,0.477,0.227,26
217,0.635263358,0.63,0.008,26
218,0.620630034,0.626,0,26
219,0.614473074,0.622,0,26
220,0.6134188,0.626,0,26
221,0.625437524,0.632,0,26
222,0.650402733,0.634,0,26
223,0.701218741,0.63,0,26
224,0.757263948,0.624,0,26
225,0.772951546,0.633,0,26
226,0.76962004,0.64,0,26
227,0.769788723,0.643,0,26
228,0.764264328,0.64,0,26
229,0.748239362,0.642,0,26
230,0.734997681,0.642,0.006,26
231,0.733606039,0.645,0.045,26
232,0.766625901,0.649,0.128,26
233,0.796567284,0.652,0.258,26
234,0.828701556,0.653,0.411,26
235,0.818833551,0.653,0.509,26
236,0.802344705,0.65,0.541,26
237,0.779783241,0.648,0.502,26
238,0.737106229,0.641,0.402,26
239,0.705731034,0.635,0.261,26
240,0.671530384,0.633,0.109,26
241,0.644962679,0.476,0.1,26
242,0.626955678,0.470,0.024,26
243,0.628009952,0.462,0.001,26
244,0.623328976,0.456,0,26
245,0.628684688,0.451,0,26
246,0.649306288,0.450,0,26
247,0.703116434,0.450,0,26
248,0.769535698,0.449,0,26
249,0.788217433,0.449,0,26
250,0.785138953,0.443,0,26
251,0.78454856,0.434,0,26
252,0.779150677,0.437,0.001,26
253,0.784253363,0.450,0.023,26
254,0.778433771,0.465,0.101,26
255,0.770927339,0.478,0.237,26
256,0.788259604,0.485,0.384,26
257,0.80867035,0.490,0.499,26
258,0.827520769,0.496,0.575,26
259,0.809808966,0.503,0.612,26
260,0.799772277,0.509,0.605,26
261,0.788470459,0.508,0.559,26
262,0.761691899,0.502,0.471,26
263,0.720364357,0.489,0.361,26
264,0.682157466,0.477,0.227,26
265,0.644920508,0.630,0.008,26
266,0.623666343,0.626,0,26
267,0.613545313,0.622,0,26
268,0.615105638,0.626,0,26
269,0.626280943,0.632,0,26
270,0.644456627,0.634,0,26
271,0.693838823,0.630,0,26
272,0.751275672,0.624,0,26
273,0.775228777,0.633,0,26
274,0.775060094,0.640,0,26
275,0.777295155,0.643,0,26
276,0.787964408,0.640,0,26
277,0.786867963,0.642,0,26
278,0.776367393,0.642,0.006,26
279,0.767848859,0.645,0.045,26
280,0.77139122,0.649,0.128,26
281,0.784885928,0.652,0.258,26
282,0.802808586,0.653,0.411,26
283,0.781512251,0.653,0.509,26
284,0.779235019,0.650,0.541,26
285,0.76877662,0.648,0.502,26
286,0.74022688,0.641,0.402,26
287,0.706658795,0.635,0.261,26
288,0.664530005,0.633,0.109,26
289,0.631931852,0.476,0.1,26
290,0.616286425,0.470,0.024,26
291,0.612828406,0.462,0.001,26
292,0.607683549,0.456,0,26
293,0.616665964,0.451,0,26
294,0.640408215,0.450,0,26
295,0.687639691,0.450,0,26
296,0.744528318,0.449,0,26
297,0.772487665,0.449,0,26
298,0.773541939,0.443,0,26
299,0.790663349,0.434,0,26
300,0.801796483,0.437,0.001,26
301,0.795639523,0.450,0.023,26
302,0.784042508,0.465,0.101,26
303,0.779951925,0.478,0.237,26
304,0.781807447,0.485,0.384,26
305,0.797663729,0.490,0.499,26
306,0.817821448,0.496,0.575,26
307,0.81044153,0.503,0.612,26
308,0.795934719,0.509,0.605,26
309,0.782650867,0.508,0.559,26
310,0.75734829,0.502,0.471,26
311,0.726394805,0.489,0.361,26
312,0.690465146,0.477,0.227,26
313,0.65774048,0.630,0.008,26
314,0.644034918,0.626,0.000,26
315,0.640534728,0.622,0.000,26
316,0.638341838,0.626,0.000,26
317,0.643233669,0.632,0.000,26
318,0.660481592,0.634,0.000,26
319,0.680934508,0.630,0.000,26
320,0.70602623,0.624,0.000,26
321,0.744022266,0.633,0.000,26
322,0.775777,0.640,0.000,26
323,0.767933201,0.643,0.000,26
324,0.760637625,0.640,0.000,26
325,0.740985957,0.642,0.000,26
326,0.716400287,0.642,0.006,26
327,0.705351495,0.645,0.045,26
328,0.723695863,0.649,0.128,26
329,0.757095264,0.652,0.258,26
330,0.811537975,0.653,0.411,26
331,0.808881204,0.653,0.509,26
332,0.782186986,0.650,0.541,26
333,0.76392696,0.648,0.502,26
334,0.738371357,0.641,0.402,26
335,0.711044575,0.635,0.261,26
336,0.689368701,0.633,0.109,26
