id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
519,SS_424,SS_267,230,73.7,0.04025,558
520,SS_516,SS_515,240,65.8,0.02855,624
521,SS_381,SS_519,230,4,0.00218,558
522,SS_521,VS_1055,230,3.4,0.00184,558
523,VS_916,SS_524,230,2.6,0.0014,558
524,VS_1014,VS_1056,240,6.2,0.00269,624
525,VS_1056,VS_1014,240,6.2,0.00269,624
526,SS_529,VS_1056,240,5.7,0.00246,624
527,SS_403,VS_1057,240,85.8,0.03725,624
528,VS_1057,VS_1008,240,2.4,0.00105,624
529,VS_1015,VS_1006,240,13.2,0.00573,624
530,VS_1006,SS_248,240,2.9,0.00126,624
531,VS_1057,VS_1008,240,2.5,0.00106,624
532,SS_611,VS_1059,240,45.4,0.01972,624
533,SS_515,SS_535,240,4.2,0.00184,624
534,SS_537,SS_538,240,5.2,0.00226,624
535,VS_1060,VS_1061,240,7.4,0.00321,624
536,VS_1062,SS_347,240,99.6,0.04321,624
537,SS_347,SS_539,240,8.9,0.00386,624
538,VS_1064,SS_536,240,6.8,0.00294,624
539,VS_1065,SS_515,240,25.5,0.01109,624
540,VS_1059,SS_515,240,27.2,0.01181,624
541,SS_442,VS_1061,240,15.8,0.00687,624
542,SS_442,VS_1061,240,15.9,0.00688,624
543,SS_514,SS_513,240,16.3,0.00709,624
544,SS_516,SS_537,240,15.6,0.00678,624
