id,node_code,region,latitude,longitude,gen_type,Pmin,capacity_mw,om_cost
322,262,N,10,15,hydro,0,694,8
323,443,N,10,15,solar,0,10,15
324,469,N,10,15,hydro,0,68,8
325,640,N,10,15,biomass,0,39,40
326,406,N,10,15,hydro,0,355,8
327,1010,N,10,15,hydro,0,50,8
328,986,N,10,15,solar,0,10,15
329,986,N,10,15,solar,0,10,15
330,356,N,10,15,solar,0,10,15
331,115,N,10,15,hydro,0,45,8
332,519,N,10,15,gas,0,120,55
333,147,N,10,15,solar,0,24,15
334,397,N,10,15,solar,0,23,15
335,397,N,10,15,solar,0,40,15
336,443,N,10,15,solar,0,10,15
337,529,N,10,15,gas,0,514,55
338,550,N,10,15,biomass,0,25,40
339,400,N,10,15,gas,0,1398,55
340,399,N,10,15,gas,0,861,55
341,1260,N,10,15,hydro,0,523,8
342,673,N,10,15,hydro,0,144,8
343,897,N,10,15,hydro,0,912,8
344,480,N,10,15,hydro,0,385,8
345,149,N,10,15,hydro,0,756,8
346,351,N,10,15,hydro,0,294,8
347,1257,N,10,15,waste,0,22,45
348,492,N,10,15,hydro,0,96,8
349,1082,N,10,15,hydro,0,76,8
350,510,N,10,15,gas,0,250,55
351,567,N,10,15,gas,0,299,55
352,1145,N,10,15,solar,0,10,15
353,398,N,10,15,hydro,0,62,8
354,801,N,10,15,hydro,0,878,8
355,472,N,10,15,hydro,0,319,8
356,777,N,10,15,diesel,0,400,70
357,206,N,10,15,solar,0,20,15
358,428,N,10,15,oil,0,132,65
359,881,N,10,15,solar,0,10,15
360,453,N,10,15,solar,0,15,15
361,577,N,10,15,solar,0,10,15
362,118,N,10,15,solar,0,10,15
363,127,N,10,15,solar,0,10,15
364,881,N,10,15,solar,0,10,15
365,379,N,10,15,solar,0,10,15
366,124,N,10,15,solar,0,12,15
367,118,N,10,15,solar,0,10.4,15
368,445,N,10,15,solar,0,10,15
369,872,N,10,15,solar,0,10,15
370,450,N,10,15,solar,0,10,15
371,450,N,10,15,solar,0,10,15
372,890,N,10,15,solar,0,10,15
373,890,N,10,15,solar,0,10,15
374,125,N,10,15,solar,0,12.7,15
375,299,N,10,15,solar,0,10,15
376,124,N,10,15,solar,0,12,15
377,269,N,10,15,solar,0,10,15
378,269,N,10,15,solar,0,10,15
379,986,N,10,15,solar,0,10,15
380,214,N,10,15,solar,0,20,15
381,319,N,10,15,solar,0,10,15
382,645,N,10,15,solar,0,12.7,15
383,818,N,10,15,hydro,0,640,8
384,743,N,10,15,hydro,0,270,8
385,106,N,10,15,solar,0,9.5,15
386,270,N,10,15,solar,0,10,15
387,270,N,10,15,solar,0,10,15
388,593,N,10,15,hydro,0,200,8
389,206,N,10,15,gas,0,577,55
390,733,N,10,15,hydro,0,695,8
391,15,N,10,15,hydro,0,479,8
392,398,N,10,15,hydro,0,23,8
393,530,N,10,15,gas,0,320,55
394,526,N,10,15,gas,0,868,55
395,530,N,10,15,gas,0,120,55
396,8,N,10,15,gas,0,120,55
397,625,N,10,15,hydro,0,526,8
398,338,N,10,15,hydro,0,1178,8
399,362,N,10,15,gas,0,444,55
400,743,N,10,15,hydro,0,40.6,8
401,119,N,10,15,solar,0,10,15
402,390,N,10,15,solar,0,10,15
403,390,N,10,15,solar,0,10,15
404,881,N,10,15,solar,0,10,15
405,881,N,10,15,solar,0,10,15
406,118,N,10,15,solar,0,11,15
407,1241,N,10,15,solar,0,10,15
408,280,N,10,15,hydro,0,16,8
409,280,N,10,15,hydro,0,33,8
410,818,N,10,15,hydro,0,395,8
411,964,N,10,15,hydro,0,49.9,8
412,1272,N,10,15,solar,0,10,15
413,298,N,10,15,solar,0,10,15
414,123,N,10,15,hydro,0,48,8
415,469,N,10,15,hydro,0,91,8
416,11,N,10,15,hydro,0,10,8
417,124,N,10,15,solar,0,10,15
418,124,N,10,15,solar,0,10,15
419,124,N,10,15,solar,0,10,15
420,122,N,10,15,solar,0,10,15
421,401,N,10,15,gas,0,540,55
422,122,N,10,15,solar,0,10,15
423,119,N,10,15,solar,0,10,15
424,576,N,10,15,solar,0,10,15
425,576,N,10,15,solar,0,10,15
426,299,N,10,15,solar,0,10,15
427,772,N,10,15,hydro,0,230,8
428,155,N,10,15,hydro,0,14.4,8
429,382,N,10,15,hydro,0,176,8
430,634,N,10,15,hydro,0,61,8
431,634,N,10,15,hydro,0,61,8
432,382,N,10,15,hydro,0,109,8
433,847,N,10,15,hydro,0,10.5,8
434,443,N,10,15,solar,0,10,15
435,356,N,10,15,solar,0,9,15
436,147,N,10,15,solar,0,12,15
437,301,N,10,15,biomass,0,66,40
438,978,N,10,15,hydro,0,805,8
439,425,N,10,15,hydro,0,75,8
440,879,N,10,15,waste,0,17.5,45
