x1,x2,x3,x4,x5,x6
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,1500.0,0.0,0.0,0.0
0.0,0.0,1500.0,0.0,0.0,0.0
0.0,0.0,1500.0,0.0,0.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
953.6807739591334,546.3192260408666,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,0.0,1500.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,0.0,1500.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,0.0,1500.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,1500.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,0.0,0.0,0.0,0.0,1500.0
0.0,1500.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1500.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,675.4822193896536,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,0.0,1500.0,0.0,0.0
0.0,0.0,0.0,0.0,1500.0,0.0
0.0,0.0,0.0,1287.3199362810783,212.68006371892182,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,209.34441216120086,0.0,0.0,485.517151532623,805.1384363061761
0.0,0.0,0.0,835.2493398222691,0.0,0.0
0.0,0.0,56.35395963266993,0.0,0.0,0.0
0.0,0.0,0.0,618.6566388589794,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,515.6708073223856,0.0,0.0
0.0,0.0,0.0,759.4620000253141,0.0,0.0
0.0,0.0,0.0,951.608272403567,0.0,0.0
0.0,0.0,518.4834224987862,0.0,0.0,0.0
0.0,0.0,206.16161414935564,0.0,0.0,0.0
0.0,0.0,194.91265811147264,0.0,0.0,0.0
0.0,0.0,0.0,869.2567775757495,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1023.5621434454998,0.0,0.0
0.0,0.0,138.98533770447585,0.0,1037.84186534194,0.0
0.0,0.0,0.0,1111.1929733989969,0.0,0.0
0.0,0.0,1143.1615532851583,356.8384467148418,0.0,0.0
0.0,0.0,545.0884937767529,0.0,0.0,0.0
0.0,0.0,0.0,526.0632793406389,0.0,973.9367206593611
0.0,143.37994338938495,0.0,0.0,0.0,0.0
0.0,0.0,0.0,593.6435099704717,0.0,0.0
0.0,0.0,0.0,1018.1334793492296,0.0,0.0
0.0,0.0,528.3720732532338,0.0,0.0,0.0
0.0,0.0,0.0,1068.2600266515476,0.0,0.0
0.0,0.0,112.60023089452515,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,709.3908729334635,0.0,0.0,0.0
0.0,0.0,474.0874536665313,0.0,0.0,1025.9125463334688
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,67.70911542176195,0.0,0.0,0.0,0.0
0.0,0.0,458.9944216000982,0.0,0.0,0.0
0.0,0.0,634.546104813398,0.0,0.0,0.0
0.0,0.0,1004.3475947837114,0.0,0.0,0.0
0.0,0.0,623.345613749978,0.0,0.0,0.0
0.0,0.0,618.5047604839785,0.0,0.0,0.0
0.0,0.0,894.969784901175,0.0,0.0,0.0
0.0,0.0,1134.6103577631034,0.0,0.0,0.0
0.0,0.0,1201.3922911006478,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,206.99899298343664,0.0,0.0,0.0
0.0,0.0,38.25920713225095,0.0,0.0,0.0
0.0,0.0,0.0,249.76515568601897,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,911.6826850756057,0.0,0.0,0.0
0.0,0.0,0.0,0.0,765.947172044126,734.052827955874
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,375.93345256410277,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1032.565003308887,0.0,467.43499669111304
0.0,0.0,0.0,1238.0784284472938,0.0,0.0
0.0,195.30920761454922,0.0,0.0,0.0,0.0
0.0,0.0,496.4396918738931,0.0,0.0,0.0
0.0,0.0,510.8652584431687,0.0,0.0,989.1347415568312
0.0,379.96322210678517,0.0,0.0,0.0,0.0
0.0,123.15874269420331,0.0,0.0,0.0,0.0
0.0,492.6612900841496,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,877.6567403719905,0.0,0.0,0.0,0.0
0.0,326.8535458771457,0.0,0.0,0.0,0.0
0.0,0.0,541.4655807636816,0.0,0.0,0.0
