id,node_code,region,demand_mw,cost_LS
1,AB,AB,12411,100
2,BC,BC,11098,100
3,MB,MB,5051,100
4,NB,NB,3240,100
5,NL,NL,2058,100
6,NS,NS,2408,100
7,ON,ON,24640,100
8,PE,PE,337,100
9,QC,QC,40535,100
10,SK,SK,4225,100
