id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
1,BC,AB,200,50,0.1,1200
2,AB,SK,200,50,0.1,150
3,SK,MB,200,50,0.1,300
4,MB,ON,200,50,0.1,150
5,ON,QC,200,50,0.1,3000
6,QC,NB,200,50,0.1,1200
7,QC,NL,200,50,0.1,5650
8,NB,PE,200,50,0.1,300
9,NB,NS,200,50,0.1,500
10,NS,NL,200,50,0.1,500
